Alcohol,Malic_Acid
13.64,3.1
14.21,4.04
12.93,2.81
13.73,1.5
12.37,1.17
14.3,1.92
12.0,3.43
13.4,3.91
11.61,1.35
13.36,2.56
13.5,1.81
13.5,3.12
13.41,3.84
12.77,3.43
13.63,1.81
12.52,2.43
11.41,0.74
12.08,1.13
13.86,1.35
12.08,1.39
14.19,1.59
13.11,1.01
12.33,1.1
13.4,4.6
12.77,2.39
13.78,2.76
12.42,1.61
12.37,1.21
12.08,1.83
13.56,1.73
14.02,1.68
12.37,1.63
13.16,3.57
13.58,1.66
13.75,1.73
13.88,1.89
14.34,1.68
12.53,5.51
12.37,1.07
13.48,1.67
13.07,1.5
12.22,1.29
12.67,0.98
13.34,0.94
13.62,4.95
13.16,2.36
12.08,2.08
12.42,4.43
12.58,1.29
13.83,1.65
13.03,0.9
14.22,1.7
13.39,1.77
13.23,3.3
13.49,3.59
12.51,1.73
12.33,0.99
13.28,1.64
12.29,2.83
13.71,1.86
13.88,5.04
12.29,1.41
12.21,1.19
12.82,3.37
14.12,1.48
14.39,1.87
13.3,1.72
12.25,3.88
13.24,2.59
13.68,1.83
12.47,1.52
12.2,3.03
11.66,1.88
14.1,2.16
12.87,4.61
13.05,5.8
14.23,1.71
13.52,3.17
12.43,1.53
12.17,1.45
13.05,1.77
11.81,2.12
13.87,1.9
13.56,1.71
11.79,2.13
13.05,2.05
12.85,1.6
12.81,2.31
12.72,1.81
12.7,3.87
11.84,0.89
14.22,3.99
12.6,1.34
12.16,1.61
11.45,2.4
13.71,5.65
12.85,3.27
13.9,1.68
11.62,1.99
12.6,2.46
